timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668543.760,18.555,479.492,-50.293,0.488,-90.820,26704.666
1652668543.764,-64.453,75.195,-57.129,-55.664,-120.117,26704.670
1652668543.768,-79.102,-117.676,-53.223,-54.199,-136.719,26704.674
1652668543.769,8.301,274.414,-50.781,9.766,-123.535,26704.686
1652668543.773,44.434,390.625,-45.898,23.926,-94.727,26704.690
1652668543.777,-37.598,51.270,-45.898,-32.715,-76.660,26704.694
1652668543.781,-73.730,-41.016,-38.086,-41.992,-104.492,26704.698
1652668543.785,-18.555,53.711,-31.738,-1.953,-138.184,26704.702
1652668543.789,35.645,-5.859,-39.551,23.926,-33.691,26704.706
1652668543.793,-17.090,-458.008,-37.109,-10.254,164.551,26704.710
1652668543.796,-90.332,-976.562,-62.500,-58.594,236.328,26704.714
1652668543.800,-64.453,-532.715,-68.848,-41.992,28.320,26704.718
1652668543.804,28.809,83.008,-53.711,13.672,-112.305,26704.721
1652668543.808,10.742,-234.863,-46.387,-3.906,6.836,26704.725
1652668543.812,-87.891,-314.453,-58.105,-64.941,-32.227,26704.729
1652668543.814,-86.914,263.672,-83.008,-58.594,-221.191,26704.734
1652668543.818,12.207,200.195,-70.312,5.371,-143.555,26704.738
1652668543.822,20.508,30.762,-59.082,7.324,-31.250,26704.741
1652668543.826,-69.824,171.387,-52.734,-52.734,-92.773,26704.745
1652668543.830,-90.820,227.051,-41.504,-62.988,-165.039,26704.749
1652668543.834,-26.367,-76.660,-55.664,-13.184,-38.574,26704.753
1652668543.838,10.742,-605.469,-50.293,8.789,145.020,26704.757
1652668543.841,-66.895,-483.398,-32.227,-50.293,22.461,26704.761
1652668543.845,-110.352,38.086,-53.223,-71.289,-174.316,26704.765
1652668543.849,-22.949,-61.035,-50.781,-1.953,-76.172,26704.769
1652668543.853,44.434,-371.582,-43.457,30.762,94.238,26704.773
1652668543.857,-44.922,51.758,-63.965,-55.664,-30.762,26704.777
1652668543.859,-105.469,207.031,-52.734,-91.797,-198.730,26704.779
1652668543.863,-45.410,-81.543,-54.688,-30.762,-135.742,26704.783
1652668543.867,25.879,-6.836,-66.406,14.160,-27.344,26704.787
1652668543.871,-18.066,275.391,-71.289,-35.156,-61.035,26704.791
1652668543.875,-104.004,186.523,-83.984,-90.332,-131.348,26704.795
1652668543.879,-76.660,-277.344,-69.824,-57.129,-52.734,26704.798
1652668543.883,10.742,-388.672,-53.711,1.465,18.066,26704.802
1652668543.886,10.254,-181.641,-54.688,-4.395,-13.184,26704.806
1652668543.890,-66.895,-143.066,-49.316,-49.805,-139.648,26704.810
1652668543.894,-78.613,-554.199,-46.875,-47.852,-52.246,26704.814
